"dataset_notice","client_id","full_name","date_of_birth","home_address","phone_number","email_address","government_id_passport","government_id_tax","job_title","employer_name","annual_income_inr","source_of_money","credit_score","credit_history","other_assets_inr","outstanding_loans_inr","account_balance_inr","deposit_withdrawal_history","transfer_history","card_purchase_locations","payees_merchants","ip_address","device_type","mobile_app_usage_habits","last_login_datetime","app_location_data"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0088","Ishaan Sample 88","1991-04-22","188 Example Lane, Demo Nagar, Test State 000000","+91-00000-00088","client0088@example.invalid","SYN-PPT-000088","SYN-TAX-000088","Self-employed Consultant","Mock Finance Services","1882400","Synthetic business income","784","Synthetic: strong repayment pattern","1097464","203192","445576","2026-04-22 Deposit: Synthetic salary INR 156867; 2026-04-05 Withdrawal: Synthetic ATM INR 3756","2026-04-22 Sent INR 7804 to B002 - Utility Account (Synthetic); 2026-04-27 Received INR 3552 from Synthetic sender","Test Cafe, Demo Sector 13; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.88","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-21 12:16:00 IST","SIMULATED: Demo Zone 8, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0089","Naina Mock 89","1992-05-25","189 Example Lane, Demo Nagar, Test State 000000","+91-00000-00089","client0089@example.invalid","SYN-PPT-000089","SYN-TAX-000089","Accounts Executive","Example Retail Ltd","1899700","Synthetic salary income","791","Synthetic: strong repayment pattern","1109367","205501","450503","2026-05-25 Deposit: Synthetic salary INR 158308; 2026-05-08 Withdrawal: Synthetic ATM INR 3793","2026-05-25 Sent INR 7887 to B003 - Merchant Settlement (Synthetic); 2026-05-03 Received INR 3581 from Synthetic sender","Mock Electronics, Demo Sector 14; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.89","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-26 13:23:00 IST","SIMULATED: Demo Zone 9, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0090","Reyansh Training 90","1948-06-01","190 Example Lane, Demo Nagar, Test State 000000","+91-00000-00090","client0090@example.invalid","SYN-PPT-000090","SYN-TAX-000090","Teacher","Demo Health Services","1917000","Synthetic salary income","798","Synthetic: strong repayment pattern","1121270","207810","455430","2026-06-01 Deposit: Synthetic salary INR 159750; 2026-06-11 Withdrawal: Synthetic ATM INR 3830","2026-06-01 Sent INR 7970 to B001 - Family Transfer (Synthetic); 2026-06-06 Received INR 3610 from Synthetic sender","Sandbox Market, Demo Sector 15; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.90","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-03 14:30:00 IST","SIMULATED: Demo Zone 10, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0091","Aditi Demo 91","1949-07-04","191 Example Lane, Demo Nagar, Test State 000000","+91-00000-00091","client0091@example.invalid","SYN-PPT-000091","SYN-TAX-000091","Store Manager","Sample Manufacturing","1934300","Synthetic salary income","805","Synthetic: strong repayment pattern","1133173","210119","460357","2026-07-04 Deposit: Synthetic salary INR 161192; 2026-07-14 Withdrawal: Synthetic ATM INR 3867","2026-07-04 Sent INR 8053 to B002 - Utility Account (Synthetic); 2026-07-09 Received INR 3639 from Synthetic sender","Demo Grocers, Demo Sector 16; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.91","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-08 15:37:00 IST","SIMULATED: Demo Zone 11, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0092","Neil Example 92","1950-08-07","192 Example Lane, Demo Nagar, Test State 000000","+91-00000-00092","client0092@example.invalid","SYN-PPT-000092","SYN-TAX-000092","Nurse","Test Education Trust","1951600","Synthetic business income","812","Synthetic: strong repayment pattern","1145076","212428","465284","2026-08-07 Deposit: Synthetic salary INR 162633; 2026-08-17 Withdrawal: Synthetic ATM INR 3904","2026-08-07 Sent INR 8136 to B003 - Merchant Settlement (Synthetic); 2026-08-12 Received INR 3668 from Synthetic sender","Sample Pharmacy, Demo Sector 17; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.92","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-13 16:44:00 IST","SIMULATED: Demo Zone 12, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0093","Mira Sandbox 93","1951-09-10","193 Example Lane, Demo Nagar, Test State 000000","+91-00000-00093","client0093@example.invalid","SYN-PPT-000093","SYN-TAX-000093","Software Analyst","Sandbox Logistics","1968900","Synthetic salary income","819","Synthetic: strong repayment pattern","1156979","214737","470211","2026-09-10 Deposit: Synthetic salary INR 164075; 2026-09-20 Withdrawal: Synthetic ATM INR 3941","2026-09-10 Sent INR 8219 to B001 - Family Transfer (Synthetic); 2026-09-15 Received INR 3697 from Synthetic sender","Example Fuel Station, Demo Sector 18; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.93","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-18 17:51:00 IST","SIMULATED: Demo Zone 13, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0094","Yash Fictional 94","1952-10-13","194 Example Lane, Demo Nagar, Test State 000000","+91-00000-00094","client0094@example.invalid","SYN-PPT-000094","SYN-TAX-000094","Sales Associate","Prototype Systems","1986200","Synthetic salary income","826","Synthetic: strong repayment pattern","1168882","217046","475138","2026-10-13 Deposit: Synthetic salary INR 165517; 2026-10-23 Withdrawal: Synthetic ATM INR 3978","2026-10-13 Sent INR 8302 to B002 - Utility Account (Synthetic); 2026-10-18 Received INR 3726 from Synthetic sender","Test Cafe, Demo Sector 19; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.94","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-23 18:58:00 IST","SIMULATED: Demo Zone 14, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0095","Saanvi Test 95","1953-11-16","195 Example Lane, Demo Nagar, Test State 000000","+91-00000-00095","client0095@example.invalid","SYN-PPT-000095","SYN-TAX-000095","Operations Lead","Example Foods","2003500","Synthetic salary income","612","Synthetic: limited repayment history","1180785","219355","480065","2026-11-16 Deposit: Synthetic salary INR 166958; 2026-11-26 Withdrawal: Synthetic ATM INR 4015","2026-11-16 Sent INR 8385 to B003 - Merchant Settlement (Synthetic); 2026-11-21 Received INR 3755 from Synthetic sender","Mock Electronics, Demo Sector 20; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.95","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-28 19:05:00 IST","SIMULATED: Demo Zone 15, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0096","Advik Prototype 96","1954-12-19","196 Example Lane, Demo Nagar, Test State 000000","+91-00000-00096","client0096@example.invalid","SYN-PPT-000096","SYN-TAX-000096","Self-employed Consultant","Mock Finance Services","2020800","Synthetic business income","619","Synthetic: limited repayment history","1192688","221664","484992","2026-12-19 Deposit: Synthetic salary INR 168400; 2026-12-02 Withdrawal: Synthetic ATM INR 4052","2026-12-19 Sent INR 8468 to B001 - Family Transfer (Synthetic); 2026-12-24 Received INR 3784 from Synthetic sender","Sandbox Market, Demo Sector 21; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.96","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-05 08:12:00 IST","SIMULATED: Demo Zone 16, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0097","Riya Simulated 97","1955-01-22","197 Example Lane, Demo Nagar, Test State 000000","+91-00000-00097","client0097@example.invalid","SYN-PPT-000097","SYN-TAX-000097","Accounts Executive","Example Retail Ltd","2038100","Synthetic salary income","626","Synthetic: limited repayment history","1204591","223973","489919","2026-01-22 Deposit: Synthetic salary INR 169842; 2026-01-05 Withdrawal: Synthetic ATM INR 4089","2026-01-22 Sent INR 8551 to B002 - Utility Account (Synthetic); 2026-01-27 Received INR 3813 from Synthetic sender","Demo Grocers, Demo Sector 22; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.97","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-10 09:19:00 IST","SIMULATED: Demo Zone 17, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0098","Karan Sample 98","1956-02-25","198 Example Lane, Demo Nagar, Test State 000000","+91-00000-00098","client0098@example.invalid","SYN-PPT-000098","SYN-TAX-000098","Teacher","Demo Health Services","2055400","Synthetic salary income","633","Synthetic: limited repayment history","1216494","226282","494846","2026-02-25 Deposit: Synthetic salary INR 171283; 2026-02-08 Withdrawal: Synthetic ATM INR 4126","2026-02-25 Sent INR 8634 to B003 - Merchant Settlement (Synthetic); 2026-02-03 Received INR 3842 from Synthetic sender","Sample Pharmacy, Demo Sector 23; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.98","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-15 10:26:00 IST","SIMULATED: Demo Zone 18, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0099","Pooja Mock 99","1957-03-01","199 Example Lane, Demo Nagar, Test State 000000","+91-00000-00099","client0099@example.invalid","SYN-PPT-000099","SYN-TAX-000099","Store Manager","Sample Manufacturing","2072700","Synthetic salary income","640","Synthetic: limited repayment history","1228397","228591","499773","2026-03-01 Deposit: Synthetic salary INR 172725; 2026-03-11 Withdrawal: Synthetic ATM INR 4163","2026-03-01 Sent INR 8717 to B001 - Family Transfer (Synthetic); 2026-03-06 Received INR 3871 from Synthetic sender","Example Fuel Station, Demo Sector 24; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.99","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-20 11:33:00 IST","SIMULATED: Demo Zone 19, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0100","Samar Training 100","1958-04-04","200 Example Lane, Demo Nagar, Test State 000000","+91-00000-00100","client0100@example.invalid","SYN-PPT-000100","SYN-TAX-000100","Nurse","Test Education Trust","2090000","Synthetic business income","647","Synthetic: limited repayment history","1240300","230900","504700","2026-04-04 Deposit: Synthetic salary INR 174167; 2026-04-14 Withdrawal: Synthetic ATM INR 4200","2026-04-04 Sent INR 8800 to B002 - Utility Account (Synthetic); 2026-04-09 Received INR 3900 from Synthetic sender","Test Cafe, Demo Sector 25; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.100","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-25 12:40:00 IST","SIMULATED: Demo Zone 20, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0101","Aarav Demo 101","1959-05-07","201 Example Lane, Demo Nagar, Test State 000000","+91-00000-00101","client0101@example.invalid","SYN-PPT-000101","SYN-TAX-000101","Software Analyst","Sandbox Logistics","2107300","Synthetic salary income","654","Synthetic: limited repayment history","1252203","233209","509627","2026-05-07 Deposit: Synthetic salary INR 175608; 2026-05-17 Withdrawal: Synthetic ATM INR 4237","2026-05-07 Sent INR 8883 to B003 - Merchant Settlement (Synthetic); 2026-05-12 Received INR 3929 from Synthetic sender","Mock Electronics, Demo Sector 1; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.101","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-02 13:47:00 IST","SIMULATED: Demo Zone 1, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0102","Diya Example 102","1960-06-10","202 Example Lane, Demo Nagar, Test State 000000","+91-00000-00102","client0102@example.invalid","SYN-PPT-000102","SYN-TAX-000102","Sales Associate","Prototype Systems","2124600","Synthetic salary income","661","Synthetic: limited repayment history","1264106","235518","514554","2026-06-10 Deposit: Synthetic salary INR 177050; 2026-06-20 Withdrawal: Synthetic ATM INR 4274","2026-06-10 Sent INR 8966 to B001 - Family Transfer (Synthetic); 2026-06-15 Received INR 3958 from Synthetic sender","Sandbox Market, Demo Sector 2; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.102","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-07 14:54:00 IST","SIMULATED: Demo Zone 2, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0103","Kabir Sandbox 103","1961-07-13","203 Example Lane, Demo Nagar, Test State 000000","+91-00000-00103","client0103@example.invalid","SYN-PPT-000103","SYN-TAX-000103","Operations Lead","Example Foods","2141900","Synthetic salary income","668","Synthetic: limited repayment history","1276009","237827","519481","2026-07-13 Deposit: Synthetic salary INR 178492; 2026-07-23 Withdrawal: Synthetic ATM INR 4311","2026-07-13 Sent INR 9049 to B002 - Utility Account (Synthetic); 2026-07-18 Received INR 3987 from Synthetic sender","Demo Grocers, Demo Sector 3; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.103","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-12 15:01:00 IST","SIMULATED: Demo Zone 3, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0104","Meera Fictional 104","1962-08-16","204 Example Lane, Demo Nagar, Test State 000000","+91-00000-00104","client0104@example.invalid","SYN-PPT-000104","SYN-TAX-000104","Self-employed Consultant","Mock Finance Services","2159200","Synthetic business income","675","Synthetic: limited repayment history","1287912","240136","524408","2026-08-16 Deposit: Synthetic salary INR 179933; 2026-08-26 Withdrawal: Synthetic ATM INR 4348","2026-08-16 Sent INR 9132 to B003 - Merchant Settlement (Synthetic); 2026-08-21 Received INR 4016 from Synthetic sender","Sample Pharmacy, Demo Sector 4; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.104","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-17 16:08:00 IST","SIMULATED: Demo Zone 4, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0105","Arjun Test 105","1963-09-19","205 Example Lane, Demo Nagar, Test State 000000","+91-00000-00105","client0105@example.invalid","SYN-PPT-000105","SYN-TAX-000105","Accounts Executive","Example Retail Ltd","376500","Synthetic salary income","682","Synthetic: satisfactory repayment pattern","1299815","242445","529335","2026-09-19 Deposit: Synthetic salary INR 31375; 2026-09-02 Withdrawal: Synthetic ATM INR 4385","2026-09-19 Sent INR 9215 to B001 - Family Transfer (Synthetic); 2026-09-24 Received INR 4045 from Synthetic sender","Example Fuel Station, Demo Sector 5; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.105","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-22 17:15:00 IST","SIMULATED: Demo Zone 5, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0106","Anaya Prototype 106","1964-10-22","206 Example Lane, Demo Nagar, Test State 000000","+91-00000-00106","client0106@example.invalid","SYN-PPT-000106","SYN-TAX-000106","Teacher","Demo Health Services","393800","Synthetic salary income","689","Synthetic: satisfactory repayment pattern","1311718","244754","534262","2026-10-22 Deposit: Synthetic salary INR 32817; 2026-10-05 Withdrawal: Synthetic ATM INR 4422","2026-10-22 Sent INR 9298 to B002 - Utility Account (Synthetic); 2026-10-27 Received INR 4074 from Synthetic sender","Test Cafe, Demo Sector 6; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.106","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-27 18:22:00 IST","SIMULATED: Demo Zone 6, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0107","Vihaan Simulated 107","1965-11-25","207 Example Lane, Demo Nagar, Test State 000000","+91-00000-00107","client0107@example.invalid","SYN-PPT-000107","SYN-TAX-000107","Store Manager","Sample Manufacturing","411100","Synthetic salary income","696","Synthetic: satisfactory repayment pattern","1323621","247063","539189","2026-11-25 Deposit: Synthetic salary INR 34258; 2026-11-08 Withdrawal: Synthetic ATM INR 4459","2026-11-25 Sent INR 9381 to B003 - Merchant Settlement (Synthetic); 2026-11-03 Received INR 4103 from Synthetic sender","Mock Electronics, Demo Sector 7; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.107","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-04 19:29:00 IST","SIMULATED: Demo Zone 7, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0108","Isha Sample 108","1966-12-01","208 Example Lane, Demo Nagar, Test State 000000","+91-00000-00108","client0108@example.invalid","SYN-PPT-000108","SYN-TAX-000108","Nurse","Test Education Trust","428400","Synthetic business income","703","Synthetic: satisfactory repayment pattern","1335524","249372","544116","2026-12-01 Deposit: Synthetic salary INR 35700; 2026-12-11 Withdrawal: Synthetic ATM INR 4496","2026-12-01 Sent INR 9464 to B001 - Family Transfer (Synthetic); 2026-12-06 Received INR 4132 from Synthetic sender","Sandbox Market, Demo Sector 8; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.108","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-09 08:36:00 IST","SIMULATED: Demo Zone 8, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0109","Rohan Mock 109","1967-01-04","209 Example Lane, Demo Nagar, Test State 000000","+91-00000-00109","client0109@example.invalid","SYN-PPT-000109","SYN-TAX-000109","Software Analyst","Sandbox Logistics","445700","Synthetic salary income","710","Synthetic: satisfactory repayment pattern","1347427","251681","549043","2026-01-04 Deposit: Synthetic salary INR 37142; 2026-01-14 Withdrawal: Synthetic ATM INR 4533","2026-01-04 Sent INR 9547 to B002 - Utility Account (Synthetic); 2026-01-09 Received INR 4161 from Synthetic sender","Demo Grocers, Demo Sector 9; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.109","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-14 09:43:00 IST","SIMULATED: Demo Zone 9, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0110","Kavya Training 110","1968-02-07","210 Example Lane, Demo Nagar, Test State 000000","+91-00000-00110","client0110@example.invalid","SYN-PPT-000110","SYN-TAX-000110","Sales Associate","Prototype Systems","463000","Synthetic salary income","717","Synthetic: satisfactory repayment pattern","1359330","253990","553970","2026-02-07 Deposit: Synthetic salary INR 38583; 2026-02-17 Withdrawal: Synthetic ATM INR 4570","2026-02-07 Sent INR 9630 to B003 - Merchant Settlement (Synthetic); 2026-02-12 Received INR 4190 from Synthetic sender","Sample Pharmacy, Demo Sector 10; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.110","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-19 10:50:00 IST","SIMULATED: Demo Zone 10, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0111","Dev Demo 111","1969-03-10","211 Example Lane, Demo Nagar, Test State 000000","+91-00000-00111","client0111@example.invalid","SYN-PPT-000111","SYN-TAX-000111","Operations Lead","Example Foods","480300","Synthetic salary income","724","Synthetic: satisfactory repayment pattern","1371233","256299","558897","2026-03-10 Deposit: Synthetic salary INR 40025; 2026-03-20 Withdrawal: Synthetic ATM INR 4607","2026-03-10 Sent INR 9713 to B001 - Family Transfer (Synthetic); 2026-03-15 Received INR 4219 from Synthetic sender","Example Fuel Station, Demo Sector 11; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.111","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-24 11:57:00 IST","SIMULATED: Demo Zone 11, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0112","Tara Example 112","1970-04-13","212 Example Lane, Demo Nagar, Test State 000000","+91-00000-00112","client0112@example.invalid","SYN-PPT-000112","SYN-TAX-000112","Self-employed Consultant","Mock Finance Services","497600","Synthetic business income","731","Synthetic: satisfactory repayment pattern","1383136","258608","563824","2026-04-13 Deposit: Synthetic salary INR 41467; 2026-04-23 Withdrawal: Synthetic ATM INR 4644","2026-04-13 Sent INR 9796 to B002 - Utility Account (Synthetic); 2026-04-18 Received INR 4248 from Synthetic sender","Test Cafe, Demo Sector 12; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.112","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-01 12:04:00 IST","SIMULATED: Demo Zone 12, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0113","Ishaan Sandbox 113","1971-05-16","213 Example Lane, Demo Nagar, Test State 000000","+91-00000-00113","client0113@example.invalid","SYN-PPT-000113","SYN-TAX-000113","Accounts Executive","Example Retail Ltd","514900","Synthetic salary income","738","Synthetic: satisfactory repayment pattern","1395039","260917","568751","2026-05-16 Deposit: Synthetic salary INR 42908; 2026-05-26 Withdrawal: Synthetic ATM INR 4681","2026-05-16 Sent INR 9879 to B003 - Merchant Settlement (Synthetic); 2026-05-21 Received INR 4277 from Synthetic sender","Mock Electronics, Demo Sector 13; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.113","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-06 13:11:00 IST","SIMULATED: Demo Zone 13, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0114","Naina Fictional 114","1972-06-19","214 Example Lane, Demo Nagar, Test State 000000","+91-00000-00114","client0114@example.invalid","SYN-PPT-000114","SYN-TAX-000114","Teacher","Demo Health Services","532200","Synthetic salary income","745","Synthetic: satisfactory repayment pattern","1406942","263226","573678","2026-06-19 Deposit: Synthetic salary INR 44350; 2026-06-02 Withdrawal: Synthetic ATM INR 4718","2026-06-19 Sent INR 9962 to B001 - Family Transfer (Synthetic); 2026-06-24 Received INR 4306 from Synthetic sender","Sandbox Market, Demo Sector 14; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.114","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-11 14:18:00 IST","SIMULATED: Demo Zone 14, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0115","Reyansh Test 115","1973-07-22","215 Example Lane, Demo Nagar, Test State 000000","+91-00000-00115","client0115@example.invalid","SYN-PPT-000115","SYN-TAX-000115","Store Manager","Sample Manufacturing","549500","Synthetic salary income","752","Synthetic: strong repayment pattern","1418845","265535","578605","2026-07-22 Deposit: Synthetic salary INR 45792; 2026-07-05 Withdrawal: Synthetic ATM INR 4755","2026-07-22 Sent INR 10045 to B002 - Utility Account (Synthetic); 2026-07-27 Received INR 4335 from Synthetic sender","Demo Grocers, Demo Sector 15; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.115","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-16 15:25:00 IST","SIMULATED: Demo Zone 15, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0116","Aditi Prototype 116","1974-08-25","216 Example Lane, Demo Nagar, Test State 000000","+91-00000-00116","client0116@example.invalid","SYN-PPT-000116","SYN-TAX-000116","Nurse","Test Education Trust","566800","Synthetic business income","759","Synthetic: strong repayment pattern","1430748","267844","583532","2026-08-25 Deposit: Synthetic salary INR 47233; 2026-08-08 Withdrawal: Synthetic ATM INR 4792","2026-08-25 Sent INR 10128 to B003 - Merchant Settlement (Synthetic); 2026-08-03 Received INR 4364 from Synthetic sender","Sample Pharmacy, Demo Sector 16; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.116","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-21 16:32:00 IST","SIMULATED: Demo Zone 16, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0117","Neil Simulated 117","1975-09-01","217 Example Lane, Demo Nagar, Test State 000000","+91-00000-00117","client0117@example.invalid","SYN-PPT-000117","SYN-TAX-000117","Software Analyst","Sandbox Logistics","584100","Synthetic salary income","766","Synthetic: strong repayment pattern","1442651","270153","588459","2026-09-01 Deposit: Synthetic salary INR 48675; 2026-09-11 Withdrawal: Synthetic ATM INR 4829","2026-09-01 Sent INR 10211 to B001 - Family Transfer (Synthetic); 2026-09-06 Received INR 4393 from Synthetic sender","Example Fuel Station, Demo Sector 17; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.117","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-26 17:39:00 IST","SIMULATED: Demo Zone 17, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0118","Mira Sample 118","1976-10-04","218 Example Lane, Demo Nagar, Test State 000000","+91-00000-00118","client0118@example.invalid","SYN-PPT-000118","SYN-TAX-000118","Sales Associate","Prototype Systems","601400","Synthetic salary income","773","Synthetic: strong repayment pattern","1454554","272462","593386","2026-10-04 Deposit: Synthetic salary INR 50117; 2026-10-14 Withdrawal: Synthetic ATM INR 4866","2026-10-04 Sent INR 10294 to B002 - Utility Account (Synthetic); 2026-10-09 Received INR 4422 from Synthetic sender","Test Cafe, Demo Sector 18; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.118","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-03 18:46:00 IST","SIMULATED: Demo Zone 18, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0119","Yash Mock 119","1977-11-07","219 Example Lane, Demo Nagar, Test State 000000","+91-00000-00119","client0119@example.invalid","SYN-PPT-000119","SYN-TAX-000119","Operations Lead","Example Foods","618700","Synthetic salary income","780","Synthetic: strong repayment pattern","1466457","274771","598313","2026-11-07 Deposit: Synthetic salary INR 51558; 2026-11-17 Withdrawal: Synthetic ATM INR 4903","2026-11-07 Sent INR 10377 to B003 - Merchant Settlement (Synthetic); 2026-11-12 Received INR 4451 from Synthetic sender","Mock Electronics, Demo Sector 19; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.119","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-08 19:53:00 IST","SIMULATED: Demo Zone 19, Example City, Test State"
